TIME;BeatAvg;;;;;;;;;BeatavgFiltered;SmoothedBeatavgFiltered
00:10:00;63.74;;;;;;;;;63.73;64.62
00:10:01;60.84;;;;;;;;;63.05;65.23
00:10:02;62.34;;;;;;;;;63.1;65.86
00:10:03;67.15;;;;;;;;;65.13;66.52
00:10:04;75.04;;;;;;;;;67.55;67.19
00:10:09;60.12;;;;;;;;;71.38;67.88
00:10:10;69.33;;;;;;;;;71.38;68.59
00:10:10;64.81;;;;;;;;;69.43;69.3
00:10:11;70.12;;;;;;;;;69.4;70.02
00:10:14;74.87;;;;;;;;;69.5;70.75
00:10:15;77.4;;;;;;;;;73.28;71.47
00:10:16;80.82;;;;;;;;;76.68;72.19
00:10:17;76.67;;;;;;;;;76.63;72.89
00:10:17;72.57;;;;;;;;;76.5;73.59
00:10:18;75.1;;;;;;;;;75.2;74.27
00:10:19;65.95;;;;;;;;;73.22;74.94
00:10:20;68.86;;;;;;;;;73.28;75.58
00:10:21;78.83;;;;;;;;;73.99;76.2
00:10:27;81.21;;;;;;;;;75.02;76.79
00:10:28;82.09;;;;;;;;;78.4;77.34
00:10:28;82.47;;;;;;;;;80.05;77.86
00:10:29;79.23;;;;;;;;;79.97;78.34
00:10:30;81.92;;;;;;;;;78.25;78.78
00:10:33;77.8;;;;;;;;;77.03;79.17
00:10:34;77.77;;;;;;;;;76.67;79.51
00:10:37;77.75;;;;;;;;;77.05;79.8
00:10:38;76.98;;;;;;;;;77.27;79.97
00:10:39;68.25;;;;;;;;;76.4;79.85
00:10:42;74.14;;;;;;;;;75.47;79.51
00:10:43;72.83;;;;;;;;;76.05;79.12
00:10:44;80.52;;;;;;;;;77.03;78.77
00:10:45;77.99;;;;;;;;;77.66;78.54
00:10:47;83.64;;;;;;;;;78.22;78.27
00:10:50;87.59;;;;;;;;;83.22;77.85
00:10:51;89.65;;;;;;;;;86.85;77.38
00:10:52;93.8;;;;;;;;;91.53;76.91
00:10:57;90.42;;;;;;;;;90.82;76.47
00:10:58;77.53;;;;;;;;;84.7;75.99
00:10:58;67.78;;;;;;;;;77.57;75.32
00:11:07;66.48;;;;;;;;;68.68;74.37
00:11:09;64.9;;;;;;;;;67.55;73.39
00:11:12;69.77;;;;;;;;;70.58;72.39
00:11:12;71.58;;;;;;;;;70.3;71.49
00:11:13;74.36;;;;;;;;;70.83;70.72
00:11:14;72.45;;;;;;;;;71.2;69.93
00:11:15;68.8;;;;;;;;;69.57;69.25
00:11:16;67.64;;;;;;;;;70.05;68.66
00:11:17;67.94;;;;;;;;;68.47;68.17
00:11:19;59.56;;;;;;;;;64.57;67.73
00:11:21;56.02;;;;;;;;;60.08;67.35
00:11:24;62.68;;;;;;;;;57.55;67.05
00:11:25;66.49;;;;;;;;;58.5;66.82
00:11:29;67.09;;;;;;;;;63.38;66.61
00:11:30;65.77;;;;;;;;;67.03;66.29
00:11:31;59.93;;;;;;;;;67.55;65.78
00:11:32;64.75;;;;;;;;;65.97;65.14
00:11:32;59.16;;;;;;;;;62.98;64.44
00:11:34;56.24;;;;;;;;;61.85;63.87
00:11:35;65.6;;;;;;;;;62.13;63.45
00:11:36;59.59;;;;;;;;;60.85;63.42
00:11:37;53.61;;;;;;;;;57.65;63.8
00:11:38;55.68;;;;;;;;;57.03;64.48
00:11:41;67.56;;;;;;;;;59.32;65.32
00:11:42;71.9;;;;;;;;;64.95;66.1
00:11:47;79.86;;;;;;;;;74.53;66.71
00:11:48;77.53;;;;;;;;;75.97;67.09
00:11:48;74.83;;;;;;;;;75.68;67.45
00:11:49;70.91;;;;;;;;;73.22;67.85
00:11:50;72.35;;;;;;;;;69.7;68.22
00:11:51;74.79;;;;;;;;;71.78;68.53
00:11:52;71.24;;;;;;;;;72.15;68.76
00:11:53;71.31;;;;;;;;;72.6;68.9
00:11:54;71.08;;;;;;;;;71.05;68.99
00:11:55;67.74;;;;;;;;;68.82;69.01
00:11:56;59.17;;;;;;;;;66.05;68.91
00:11:57;58.8;;;;;;;;;62.75;68.61
00:11:58;59.86;;;;;;;;;60.3;68.16
00:11:58;60.41;;;;;;;;;59.1;67.62
00:12:01;72.15;;;;;;;;;61.63;67.16
00:12:02;72.37;;;;;;;;;66.83;66.83
00:12:03;78.74;;;;;;;;;73.55;66.53
00:12:03;81.29;;;;;;;;;79.23;66.21
00:12:04;78.67;;;;;;;;;78.98;65.74
00:12:05;72.08;;;;;;;;;77.68;65.14
00:12:08;63.3;;;;;;;;;72.52;64.49
00:12:09;64.12;;;;;;;;;65.57;63.81
00:12:10;63.22;;;;;;;;;63.22;63.13
00:12:11;59.92;;;;;;;;;60.1;62.41
00:12:13;55.67;;;;;;;;;58.48;61.75
00:12:15;61.38;;;;;;;;;58.0;61.28
00:12:17;49.61;;;;;;;;;56.17;61.1
00:12:18;48.6;;;;;;;;;53.95;61.05
00:12:19;55.66;;;;;;;;;53.35;61.11
00:12:20;54.33;;;;;;;;;52.78;61.09
00:12:21;54.38;;;;;;;;;53.65;60.96
00:12:22;53.12;;;;;;;;;56.03;60.82
00:12:25;65.19;;;;;;;;;56.42;60.65
00:12:26;59.35;;;;;;;;;58.23;60.47
00:12:27;60.17;;;;;;;;;59.0;60.23
00:12:30;60.12;;;;;;;;;58.57;59.99
00:12:31;61.25;;;;;;;;;59.17;59.73
00:12:32;63.65;;;;;;;;;59.95;59.47
00:12:33;65.45;;;;;;;;;62.03;59.22
00:12:34;61.34;;;;;;;;;63.25;59.0
00:12:35;61.11;;;;;;;;;62.47;58.88
00:12:36;55.86;;;;;;;;;61.98;58.94
00:12:37;60.81;;;;;;;;;61.08;59.28
00:12:40;66.73;;;;;;;;;63.15;59.9
00:12:42;71.49;;;;;;;;;65.92;60.67
00:12:43;69.98;;;;;;;;;68.35;61.49
00:12:43;63.33;;;;;;;;;68.18;62.23
00:12:45;59.81;;;;;;;;;64.35;62.73
00:12:46;54.14;;;;;;;;;63.6;63.1
00:12:47;63.64;;;;;;;;;62.47;63.38
00:12:48;58.68;;;;;;;;;60.18;63.59
00:12:49;56.98;;;;;;;;;60.45;63.81
00:12:50;56.17;;;;;;;;;58.33;63.94
00:12:53;51.98;;;;;;;;;55.78;63.83
00:12:54;55.9;;;;;;;;;56.2;63.49
00:12:55;65.82;;;;;;;;;56.95;62.96
00:12:55;64.27;;;;;;;;;59.75;62.3
00:12:56;66.98;;;;;;;;;62.75;61.77
00:12:57;64.45;;;;;;;;;65.9;61.38
00:13:02;76.76;;;;;;;;;69.2;61.17
00:13:02;65.88;;;;;;;;;70.03;61.11
00:13:03;74.47;;;;;;;;;70.15;61.12
00:13:04;60.18;;;;;;;;;68.7;61.25
00:13:05;68.57;;;;;;;;;66.53;61.47
00:13:06;67.95;;;;;;;;;64.35;61.78
00:13:10;59.98;;;;;;;;;63.1;62.11
00:13:11;62.25;;;;;;;;;62.45;62.35
00:13:12;60.89;;;;;;;;;60.98;62.51
00:13:14;54.24;;;;;;;;;59.25;62.63
00:13:15;51.32;;;;;;;;;56.68;62.8
00:13:15;51.05;;;;;;;;;55.67;63.04
00:13:19;58.15;;;;;;;;;55.0;63.39
00:13:20;58.37;;;;;;;;;56.53;63.81
00:13:23;56.89;;;;;;;;;58.63;64.14
00:13:24;61.28;;;;;;;;;58.58;64.47
00:13:27;58.45;;;;;;;;;58.38;64.8
00:13:28;54.1;;;;;;;;;56.93;65.04
00:13:29;57.1;;;;;;;;;56.37;65.29
00:13:29;68.62;;;;;;;;;60.7;65.54
00:13:30;71.79;;;;;;;;;67.05;65.66
00:13:31;80.33;;;;;;;;;73.4;65.71
00:13:32;84.96;;;;;;;;;80.03;65.67
00:13:33;79.29;;;;;;;;;80.23;65.51
00:13:33;72.61;;;;;;;;;77.78;65.29
00:13:34;72.13;;;;;;;;;75.2;65.09
00:13:36;66.77;;;;;;;;;71.65;64.97
00:13:37;71.08;;;;;;;;;69.63;64.93
00:13:37;61.35;;;;;;;;;66.25;64.96
00:13:38;62.12;;;;;;;;;63.03;65.01
00:13:39;62.02;;;;;;;;;61.5;65.04
00:13:40;63.08;;;;;;;;;61.1;65.05
00:13:41;58.82;;;;;;;;;62.6;65.05
00:13:42;60.83;;;;;;;;;64.7;65.04
00:13:43;63.74;;;;;;;;;65.17;65.01
00:13:44;66.89;;;;;;;;;65.1;64.95
00:13:45;65.56;;;;;;;;;65.93;64.86
00:13:46;61.28;;;;;;;;;65.97;64.79
00:13:47;59.85;;;;;;;;;64.15;64.72
00:13:48;62.23;;;;;;;;;63.9;64.69
00:13:49;60.29;;;;;;;;;63.43;64.71
00:13:50;63.22;;;;;;;;;61.7;64.68
00:13:51;59.05;;;;;;;;;61.68;64.55
00:13:52;58.23;;;;;;;;;60.03;64.28
00:13:53;53.17;;;;;;;;;56.42;63.91
00:13:54;53.81;;;;;;;;;54.95;63.58
00:14:08;54.41;;;;;;;;;54.58;63.44
00:14:09;57.7;;;;;;;;;55.45;63.53
00:14:09;66.01;;;;;;;;;60.05;63.86
00:14:10;64.69;;;;;;;;;64.13;64.22
00:14:11;67.74;;;;;;;;;67.13;64.58
00:14:12;69.41;;;;;;;;;69.3;64.92
00:14:13;66.06;;;;;;;;;69.63;65.23
00:14:14;69.21;;;;;;;;;69.95;65.56
00:14:16;68.45;;;;;;;;;70.18;65.77
00:14:17;69.62;;;;;;;;;70.58;65.81
00:14:18;71.25;;;;;;;;;70.78;65.8
00:14:19;69.68;;;;;;;;;71.43;65.78
00:14:19;71.69;;;;;;;;;72.08;65.8
00:14:20;76.23;;;;;;;;;72.35;65.92
00:14:21;70.5;;;;;;;;;72.3;66.08
00:14:22;71.74;;;;;;;;;70.58;66.2
00:14:23;66.84;;;;;;;;;68.3;66.39
00:14:24;66.04;;;;;;;;;65.8;66.58
00:14:25;59.88;;;;;;;;;63.72;66.67
00:14:26;62.01;;;;;;;;;62.2;66.75
00:14:27;63.3;;;;;;;;;61.7;66.72
00:14:28;61.96;;;;;;;;;62.9;66.71
00:14:29;62.33;;;;;;;;;63.8;66.76
00:14:30;61.35;;;;;;;;;64.8;66.89
00:14:31;69.67;;;;;;;;;65.82;67.1
00:14:32;60.93;;;;;;;;;65.18;67.24
00:14:33;68.57;;;;;;;;;63.85;67.34
00:14:34;64.85;;;;;;;;;64.53;67.41
00:14:34;64.04;;;;;;;;;66.25;67.52
00:14:35;69.05;;;;;;;;;66.63;67.81
00:14:36;64.93;;;;;;;;;67.18;68.32
00:14:37;67.01;;;;;;;;;66.82;68.95
00:14:38;65.7;;;;;;;;;65.3;69.62
00:14:39;71.34;;;;;;;;;66.7;70.28
00:14:40;67.45;;;;;;;;;69.9;70.85
00:14:40;73.17;;;;;;;;;70.35;71.32
00:14:41;72.76;;;;;;;;;70.68;71.66
00:14:42;67.46;;;;;;;;;71.3;71.8
00:14:43;78.56;;;;;;;;;70.22;71.79
00:14:44;74.05;;;;;;;;;70.63;71.72
00:14:45;79.34;;;;;;;;;72.43;71.74
00:14:46;78.35;;;;;;;;;72.47;71.89
00:14:46;75.88;;;;;;;;;73.55;72.18
00:14:47;77.31;;;;;;;;;76.45;72.45
00:14:55;82.57;;;;;;;;;78.55;72.63
00:14:55;78.41;;;;;;;;;83.78;72.73
00:15:00;81.56;;;;;;;;;83.9;72.79
00:15:04;81.69;;;;;;;;;83.65;72.87
00:15:05;78.61;;;;;;;;;80.95;72.94
00:15:09;71.06;;;;;;;;;74.03;72.95
00:15:13;75.28;;;;;;;;;73.38;72.87
00:15:14;68.17;;;;;;;;;72.63;72.66
00:15:19;71.52;;;;;;;;;71.93;72.29
00:15:24;68.65;;;;;;;;;73.28;71.84
00:15:25;65.42;;;;;;;;;70.02;71.33
00:15:26;61.82;;;;;;;;;64.3;70.73
00:15:27;59.67;;;;;;;;;60.45;70.02
00:15:28;57.24;;;;;;;;;56.78;69.23
00:15:29;56.26;;;;;;;;;54.93;68.36
00:15:30;58.25;;;;;;;;;55.53;67.49
00:15:32;64.82;;;;;;;;;57.08;66.7
00:15:33;65.25;;;;;;;;;60.05;65.88
00:15:45;75.92;;;;;;;;;66.78;64.98
00:15:45;72.41;;;;;;;;;73.6;64.04
00:15:47;78.58;;;;;;;;;77.83;62.99
00:15:48;71.23;;;;;;;;;77.35;61.93
00:15:49;66.19;;;;;;;;;72.68;60.92
00:15:56;66.2;;;;;;;;;66.18;59.95
00:15:58;62.24;;;;;;;;;63.08;59.11
00:15:59;63.24;;;;;;;;;61.75;58.43
00:16:00;62.94;;;;;;;;;60.58;57.9
00:16:01;56.22;;;;;;;;;58.52;57.64
00:16:06;56.21;;;;;;;;;55.05;57.5
00:16:07;50.52;;;;;;;;;52.7;57.49
00:16:08;52.01;;;;;;;;;51.5;57.55
00:16:09;51.03;;;;;;;;;52.03;57.47
00:16:10;55.78;;;;;;;;;52.6;57.37
00:16:12;54.34;;;;;;;;;52.65;57.21
00:16:13;52.03;;;;;;;;;53.1;57.03
00:16:13;55.11;;;;;;;;;53.55;57.08
00:16:15;59.72;;;;;;;;;54.65;57.33
00:16:16;57.21;;;;;;;;;56.6;57.7
00:16:17;54.03;;;;;;;;;57.33;58.19
00:16:18;56.75;;;;;;;;;56.88;58.64
00:16:19;49.04;;;;;;;;;56.35;59.08
00:16:20;58.08;;;;;;;;;54.98;59.54
00:16:21;56.81;;;;;;;;;55.77;60.04
00:16:22;58.67;;;;;;;;;58.07;60.59
00:16:23;66.11;;;;;;;;;60.08;61.31
00:16:23;61.03;;;;;;;;;63.48;62.21
00:16:24;72.79;;;;;;;;;65.13;63.29
00:16:25;66.31;;;;;;;;;66.95;64.4
00:16:26;65.06;;;;;;;;;67.75;65.39
00:16:27;69.94;;;;;;;;;66.63;66.27
00:16:28;69.03;;;;;;;;;66.88;67.1
00:16:29;74.32;;;;;;;;;66.9;67.9
00:16:30;67.65;;;;;;;;;66.97;68.63
00:16:31;67.94;;;;;;;;;68.28;69.21
00:16:32;63.71;;;;;;;;;68.3;69.57
00:16:32;69.18;;;;;;;;;68.15;69.84
00:16:43;71.92;;;;;;;;;70.18;70.09
00:17:00;79.15;;;;;;;;;74.08;70.33
00:17:01;81.44;;;;;;;;;80.5;70.51
00:17:02;91.36;;;;;;;;;86.67;70.55
00:17:03;78.05;;;;;;;;;86.38;70.41
00:17:04;67.94;;;;;;;;;82.3;70.1
00:17:05;66.36;;;;;;;;;76.35;69.68
00:17:06;65.44;;;;;;;;;69.93;69.23
00:17:07;61.58;;;;;;;;;67.25;68.78
00:17:08;65.89;;;;;;;;;65.03;68.31
00:17:19;60.59;;;;;;;;;62.6;67.8
00:17:20;60.33;;;;;;;;;61.0;67.28
00:17:23;62.36;;;;;;;;;60.25;66.74
00:17:24;62.11;;;;;;;;;60.53;66.1
00:17:25;64.07;;;;;;;;;61.25;65.3
00:17:26;58.87;;;;;;;;;61.13;64.36
